[2025-11-04 14:55:20] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:55:35] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:56:11] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:57:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:57:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:57:24] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:57:39] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:57:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:57:54] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:58:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:58:59] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:59:04] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:59:24] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:59:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 14:59:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:00:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:00:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:00:49] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:00:59] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:01:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:01:19] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:01:34] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:01:49] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:02:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:02:34] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:02:39] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:03:04] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:03:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:04:49] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:04:54] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:05:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:05:14] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:05:28] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:06:09] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:06:34] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:06:39] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:06:44] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:06:54] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
[2025-11-04 15:07:29] ⚠️  Vibration Detected! | Location: 12.9716, 77.5946
